rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
20,Last Day on Earth: Survival,4159837,50.0 M,4,0.7,1.6,0.0,GAME ACTION,3073534,463932,205166,103198,314004,False
21,Agar.io,4112075,100.0 M,3,0.2,0.3,0.0,GAME ACTION,2493810,428315,289428,156522,743997,False
22,DEER HUNTER CLASSIC,3987062,100.0 M,4,0.0,0.0,0.0,GAME ACTION,2776350,614755,242698,81199,272058,False
23,Modern Combat 5: eSports FPS,3516024,100.0 M,4,0.5,1.0,0.0,GAME ACTION,2419540,421218,214049,100008,361206,False
24,Kick the Buddy,3213257,100.0 M,4,1.0,2.3,0.0,GAME ACTION,2174466,265019,189630,118612,465528,False
25,Special Forces Group 2,3195503,100.0 M,4,1.4,7584.9,0.0,GAME ACTION,2486283,232254,118927,70889,287147,False
26,DEAD TRIGGER 2 - Zombie Game FPS shooter,3140510,50.0 M,4,0.2,0.5,0.0,GAME ACTION,2332406,409344,156460,63835,178462,False
27,Mini Militia - Doodle Army 2,3133361,100.0 M,4,0.9,2.1,0.0,GAME ACTION,2107121,271167,174340,107203,473528,False
28,Call of Duty®: Mobile - Garena,2695923,10.0 M,4,3.2,5.5,0.0,GAME ACTION,1922909,223625,133776,79762,335849,False
29,CATS: Crash Arena Turbo Stars,2670589,50.0 M,4,1082.3,1.0,0.0,GAME ACTION,1944649,272948,134237,69845,248907,False
30,Injustice: Gods Among Us,2540439,10.0 M,4,0.1,0.2,0.0,GAME ACTION,1879504,251048,115871,60732,233281,False
31,Swamp Attack,2472561,100.0 M,4,0.3,0.7,0.0,GAME ACTION,1841035,284687,138333,56785,151718,False
32,GUNSHIP BATTLE: Helicopter 3D,2380639,50.0 M,4,0.2,0.3,0.0,GAME ACTION,1582549,267812,149090,73581,307605,False
33,Real Steel World Robot Boxing,2365838,50.0 M,4,0.1,0.2,0.0,GAME ACTION,1849560,211891,101452,42652,160281,False
34,Critical Ops: Online Multiplayer FPS Shooting Game,2271977,50.0 M,4,0.4,0.9,0.0,GAME ACTION,1561779,253442,130615,65118,261021,False
35,LINE Rangers - a tower defense RPG w/Brown & Cony!,2131549,10.0 M,4,0.1,0.2,0.0,GAME ACTION,1508264,249413,138706,48233,186930,False
36,Worms Zone .io - Voracious Snake,2100984,100.0 M,4,3.1,6.7,0.0,GAME ACTION,1509125,187398,116123,66573,221763,False
37,Six-Guns: Gang Showdown,2083413,10.0 M,4,0.1,0.1,0.0,GAME ACTION,1394048,187327,118080,65989,317967,False
38,DEAD TARGET: Zombie Offline - Shooting Games,2006745,100.0 M,4,0.9,1.6,0.0,GAME ACTION,1474331,212483,115682,53493,150754,False
39,FRONTLINE COMMANDO: D-DAY,1985016,10.0 M,3,0.3,0.6,0.0,GAME ACTION,1293275,125940,82481,56490,426828,False
40,Mario Kart Tour,1949497,50.0 M,4,0.7,1.5,0.0,GAME ACTION,1268146,253822,113829,62099,251599,False
41,Guns of Boom - Online PvP Action,1860814,50.0 M,4,0.1,0.1,0.0,GAME ACTION,1160948,217692,116516,65998,299658,False
42,Hunter Assassin,1846221,100.0 M,4,2.7,6.1,0.0,GAME ACTION,1224239,194406,138751,80276,208547,False
43,RULES OF SURVIVAL,1823477,50.0 M,3,0.1,0.2,0.0,GAME ACTION,1182010,113508,91381,66639,369937,False
44,Zombie Catchers - love the hunt!,1796325,100.0 M,4,1.4,3.2,0.0,GAME ACTION,1346602,186584,95030,41917,126190,False
45,Into the Dead,1714060,50.0 M,4,0.2,0.3,0.0,GAME ACTION,1307508,207492,77701,27838,93519,False
46,Respawnables: Gun Shooting Games,1656299,10.0 M,4,0.1,0.2,0.0,GAME ACTION,1168260,143292,81868,46576,216300,False
47,Modern Strike Online: Free PvP FPS shooting game,1642589,50.0 M,4,1.1,2.5,0.0,GAME ACTION,1250905,137258,70168,38552,145704,False
48,Block Strike,1607897,10.0 M,4,0.2,0.5,0.0,GAME ACTION,1036342,184035,107587,53758,226173,False
49,Blitz Brigade - Online FPS fun,1599244,10.0 M,3,0.0,0.0,0.0,GAME ACTION,996575,145501,99100,53947,304119,False
50,Super Mario Run,1583866,100.0 M,3,0.3,0.8,0.0,GAME ACTION,877904,162431,131708,84146,327675,False
51,Tomb of the Mask,1576576,100.0 M,4,2.3,5.3,0.0,GAME ACTION,1146916,188132,81053,40397,120075,False
52,Archero,1542169,50.0 M,4,0.9,1.8,0.0,GAME ACTION,1081928,209791,90183,36824,123441,False
53,DINO HUNTER: DEADLY SHORES,1495507,50.0 M,4,0.1,0.2,0.0,GAME ACTION,1096349,179585,80390,29979,109201,False
54,DEAD TRIGGER - Offline Zombie Shooter,1481552,10.0 M,4,0.1,0.3,0.0,GAME ACTION,1101432,189555,81708,28774,80080,False
55,Johnny Trigger - Action Shooting Game,1457639,100.0 M,4,1.2,2.7,0.0,GAME ACTION,1091308,146150,77445,36949,105784,False
56,PPSSPP - PSP emulator,1396630,100.0 M,4,0.9,1.9,0.0,GAME ACTION,1033914,134027,67488,33534,127664,False
57,Robbery Bob - Sneaky Adventures,1344699,100.0 M,4,1.7,3.7,0.0,GAME ACTION,1027860,91275,58201,37535,129825,False
58,Hide Online - Hunters vs Props,1301440,50.0 M,4,1.2,2.5,0.0,GAME ACTION,944546,135687,69421,32918,118866,False
59,Soul Knight,1291305,50.0 M,4,1.4,2.9,0.0,GAME ACTION,992147,145616,55754,23143,74642,False
60,aquapark.io,1258805,100.0 M,4,1.3,2.7,0.0,GAME ACTION,820853,127892,80228,51083,178747,False
61,Creative Destruction,1254295,10.0 M,4,0.5,1.2,0.0,GAME ACTION,896055,102711,59553,34605,161368,False
62,Anger of stick 5 : zombie,1238228,100.0 M,4,1.3,3.0,0.0,GAME ACTION,909585,103667,61570,36884,126519,False
63,Bomber Friends,1227050,50.0 M,4,0.8,1.7,0.0,GAME ACTION,876781,130160,71604,34890,113612,False
64,DRAGON BALL LEGENDS,1216126,10.0 M,4,1.6,3.6,0.0,GAME ACTION,868905,139200,61082,28015,118922,False
65,Modern Sniper,1196490,50.0 M,4,0.3,0.6,0.0,GAME ACTION,777088,124118,91842,47065,156374,False
66,Nebulous.io,1166709,50.0 M,4,0.3,0.6,0.0,GAME ACTION,829860,123712,68779,31450,112906,False
67,War Machines: Tank Battle - Army & Military Games,1161701,100.0 M,4,1.2,2.4,0.0,GAME ACTION,692694,176040,96601,46480,149883,False
68,Sea Battle 2,1134127,10.0 M,4,1.4,3.1,0.0,GAME ACTION,904701,144910,43308,12872,28334,False
69,FRAG Pro Shooter,1129645,50.0 M,4,4.1,8.5,0.0,GAME ACTION,846003,88206,53387,31451,110596,False
70,PUBG MOBILE,1073769,10.0 M,4,2.7,4.5,0.0,GAME ACTION,839876,56847,34971,22041,120032,False
71,Rope Hero: Vice Town,1070197,100.0 M,4,2.6,5.6,0.0,GAME ACTION,758309,80160,55138,37528,139060,False
72,DRAGON BALL Z DOKKAN BATTLE,1066554,10.0 M,4,0.5,0.9,0.0,GAME ACTION,795922,118008,40491,18831,93301,False
73,Deer Hunter 2018,1023162,50.0 M,4,0.0,0.1,0.0,GAME ACTION,637243,120170,62893,33380,169472,False
74,FRONTLINE COMMANDO 2,998677,10.0 M,4,0.0,0.1,0.0,GAME ACTION,716212,146888,62106,19161,54308,False
75,Real Gangster Crime,996586,100.0 M,4,2.7,5.9,0.0,GAME ACTION,682355,73943,51588,39307,149391,False
76,Battlelands Royale,992742,10.0 M,4,0.2,0.6,0.0,GAME ACTION,617561,123643,72319,38945,140270,False
77,Talking Tom Hero Dash - Run Game,974789,100.0 M,4,4.2,9.0,0.0,GAME ACTION,711239,72360,43788,30322,117078,False
78,Arena of Valor: 5v5 Arena Game,963507,10.0 M,3,0.5,0.9,0.0,GAME ACTION,547583,109014,62331,33309,211267,False
79,BombSquad,907609,10.0 M,4,0.7,1.4,0.0,GAME ACTION,669505,94180,47135,22028,74760,False
80,PUBG MOBILE VN – KONG x GODZILLA,900069,10.0 M,4,1.5,2.3,0.0,GAME ACTION,623089,74194,38393,22556,141835,False
81,Crisis Action: 5th Anniversary,875257,10.0 M,3,0.1,0.2,0.0,GAME ACTION,550679,68691,58297,34315,163272,False
82,Supreme Duelist Stickman,875065,100.0 M,4,6.4,14.5,0.0,GAME ACTION,702488,63211,30606,16093,62664,False
83,Miraculous Ladybug & Cat Noir,864581,100.0 M,4,2.5,5.3,0.0,GAME ACTION,650499,70109,36672,23021,84278,False
84,Injustice 2,809654,10.0 M,4,0.5,1.3,0.0,GAME ACTION,537380,104057,50801,25962,91451,False
85,NARUTO X BORUTO NINJA VOLTAGE,809487,10.0 M,4,1.9,4.2,0.0,GAME ACTION,550198,75892,46216,25340,111839,False
86,Flippy Knife,808331,10.0 M,4,0.3,0.8,0.0,GAME ACTION,514130,120636,67629,30074,75860,False
87,Bus Rush,800432,100.0 M,4,0.1,0.2,0.0,GAME ACTION,565625,79308,51475,23173,80847,False
88,BLOOD & GLORY,799866,10.0 M,3,0.0,0.0,0.0,GAME ACTION,487332,76581,33776,18217,183958,False
89,Murder us,799114,10.0 M,4,2.9,9.0,0.0,GAME ACTION,628812,68233,33155,13323,55590,False
90,Robbery Bob 2: Double Trouble,794575,50.0 M,4,1.7,3.6,0.0,GAME ACTION,614844,53826,33678,20882,71341,False
91,Shadow Fight 2,792071,100.0 M,4,0.1,0.2,0.0,GAME ACTION,680584,47463,18399,8824,36799,False
92,Vector 2,788653,50.0 M,4,0.3,0.7,0.0,GAME ACTION,537934,79339,56540,30852,83985,False
93,Slap Kings,777188,50.0 M,4,1.4,3.1,0.0,GAME ACTION,551328,86449,45301,21966,72141,False
94,Bed Wars,771254,50.0 M,4,3.0,6.6,0.0,GAME ACTION,542497,74237,39639,20325,94553,False
95,Modern Ops - Online FPS (Gun Games Shooter),764042,10.0 M,4,3.0,7.1,0.0,GAME ACTION,585204,77395,31524,15502,54414,False
96,Bullet Force,756002,10.0 M,3,0.1,0.1,0.0,GAME ACTION,434187,90078,58506,35311,137917,False
97,SHADOWGUN: DEADZONE,748945,10.0 M,4,0.1,0.3,0.0,GAME ACTION,554163,80239,38183,14231,62125,False
98,Royal Revolt 2: Tower Defense RTS & Castle Builder,727627,10.0 M,4,0.1,0.1,0.0,GAME ACTION,541833,91851,33669,12216,48055,False
99,Lara Croft: Relic Run,718905,10.0 M,4,0.2,0.5,0.0,GAME ACTION,445276,83143,55372,35836,99275,False
100,WWE Mayhem,703514,10.0 M,4,0.6,1.3,0.0,GAME ACTION,519090,68518,34658,17634,63612,False
1,Roblox,21820451,100.0 M,4,2.6,5.7,0.0,GAME ADVENTURE,16674013,1916826,822266,423122,1984222,False
2,Pokémon GO,14541662,100.0 M,4,0.5,0.9,0.0,GAME ADVENTURE,9517488,1746849,883965,452314,1941044,False
3,Criminal Case,4273420,100.0 M,4,0.1,0.2,0.0,GAME ADVENTURE,3264905,445397,217853,93681,251581,False
4,쿠키런 for Kakao,2544322,10.0 M,4,0.0,0.0,0.0,GAME ADVENTURE,1722222,323198,198160,74312,226427,False
5,Harry Potter: Hogwarts Mystery,2258595,50.0 M,4,1.5,3.3,0.0,GAME ADVENTURE,1659776,310670,122549,48906,116692,False
6,Kiloblocks Lite,2078458,100.0 M,3,0.0,0.0,0.0,GAME ADVENTURE,1166370,247385,221072,104655,338974,False
7,Mini World: Block Art,2016845,50.0 M,4,15364.2,5.2,0.0,GAME ADVENTURE,1423448,161233,90975,57560,283626,False
8,BADLAND,1585186,10.0 M,4,0.1,0.2,0.0,GAME ADVENTURE,1211041,177267,74388,29809,92678,False
9,Genshin Impact,1550978,10.0 M,4,6.2,15.5,0.0,GAME ADVENTURE,1248963,139513,50491,23697,88311,False
10,Ice Age Adventures,1434245,50.0 M,4,0.1,0.1,0.0,GAME ADVENTURE,943752,176055,111141,53711,149584,False
11,The Walking Dead: Season One,1279866,10.0 M,4,0.1,0.3,0.0,GAME ADVENTURE,990768,104418,57683,28206,98788,False
12,Benji Bananas,1164984,50.0 M,4,0.1,0.3,0.0,GAME ADVENTURE,851605,128930,74782,26563,83101,False
13,KIM KARDASHIAN: HOLLYWOOD,1096282,10.0 M,4,0.1,0.1,0.0,GAME ADVENTURE,754581,139419,71549,32075,98655,False
14,Growtopia,1014301,10.0 M,3,0.3,0.7,0.0,GAME ADVENTURE,542530,73688,72005,51658,274417,False
15,Family Guy The Quest for Stuff,1008075,10.0 M,3,0.0,0.0,0.0,GAME ADVENTURE,587972,126076,79831,49340,164854,False
16,The Secret Society - Hidden Objects Mystery,892542,5.0 M,4,0.1,0.1,0.0,GAME ADVENTURE,532135,214918,102189,19643,23655,False
17,June's Journey: Hidden Objects,830121,10.0 M,4,1.9,4.0,0.0,GAME ADVENTURE,580582,143752,41142,16642,48000,False
18,Murder in the Alps,822854,10.0 M,4,1.0,2.2,0.0,GAME ADVENTURE,499384,155809,79328,34103,54228,False
19,Tiny Miner,753449,5.0 M,4,0.0,0.0,0.0,GAME ADVENTURE,583782,93073,41661,10380,24550,False
20,Rayman Adventures,734291,10.0 M,4,0.2,0.5,0.0,GAME ADVENTURE,548689,77834,37498,17379,52889,False
21,Swordigo,728187,10.0 M,4,0.5,1.0,0.0,GAME ADVENTURE,601386,54972,24205,10694,36927,False
22,The Walking Dead: Season Two,677145,10.0 M,4,0.1,0.3,0.0,GAME ADVENTURE,526704,54521,28494,14271,53152,False
23,Eyes: Scary Thriller - Creepy Horror Game,668761,10.0 M,4,1.1,2.2,0.0,GAME ADVENTURE,502309,64074,32411,16085,53879,False
24,ARK: Survival Evolved,653025,10.0 M,4,2.6,5.5,0.0,GAME ADVENTURE,422638,69283,42381,23676,95044,False
25,WorldCraft: 3D Build & Block Craft,637160,10.0 M,3,517.9,0.4,0.0,GAME ADVENTURE,334913,57505,45776,33167,165796,False
26,Sonic Forces – Multiplayer Racing & Battle Game,625580,50.0 M,4,2.4,4.5,0.0,GAME ADVENTURE,475950,58024,26954,14907,49743,False
27,RealmCraft with Skins Export to Minecraft,554454,50.0 M,4,2.0,4.4,0.0,GAME ADVENTURE,378346,47366,27814,19163,81761,False
28,House Designer : Fix & Flip,549049,50.0 M,4,2.3,5.1,0.0,GAME ADVENTURE,361061,64373,35178,20635,67799,False
29,Beggar Life - Clicker adventure,545166,5.0 M,4,0.1,0.0,0.0,GAME ADVENTURE,367186,59836,37681,19145,61316,False
30,Animation Throwdown: The Collectible Card Game,532248,10.0 M,4,0.4,0.7,0.0,GAME ADVENTURE,371942,93262,27248,11087,28706,False
31,Jurassic World Alive,530520,10.0 M,4,0.9,1.8,0.0,GAME ADVENTURE,372553,68645,29737,14509,45074,False
32,Seekers Notes: Hidden Mystery,526594,10.0 M,4,0.6,1.2,0.0,GAME ADVENTURE,329694,100003,44311,18809,33774,False
33,Mystery Manor: hidden objects,505541,10.0 M,4,2.3,5.3,0.0,GAME ADVENTURE,359523,111661,17212,5896,11246,False
34,Crab War : Idle Swarm Evolution,495725,5.0 M,4,0.4,0.8,0.0,GAME ADVENTURE,368974,72587,28261,8217,17684,False
35,Cyber Hunter,491846,10.0 M,4,0.5,0.9,0.0,GAME ADVENTURE,312123,47791,31641,19418,80871,False
36,Diggy's Adventure: Mine Maze Levels & Pipe Puzzles,486767,10.0 M,4,0.7,1.7,0.0,GAME ADVENTURE,335639,79203,27697,11655,32572,False
37,Ninja Arashi,476258,10.0 M,4,1.2,2.7,0.0,GAME ADVENTURE,371122,46567,19971,9337,29259,False
38,LONEWOLF (17+) - a Sniper Story,443044,10.0 M,4,0.8,1.5,0.0,GAME ADVENTURE,340597,55084,18141,7442,21778,False
39,Super Bob's World: Jungle Adventure- Free Run Game,442542,100.0 M,4,2.4,6.0,0.0,GAME ADVENTURE,310760,41967,23638,14983,51191,False
40,Monster Warlord,434780,10.0 M,4,0.0,0.0,0.0,GAME ADVENTURE,282007,58193,28882,13327,52369,False
41,Ingress Prime,428566,10.0 M,3,0.2,0.5,0.0,GAME ADVENTURE,198352,56692,32869,24522,116130,False
42,Hidden Hotel: Miami Mystery,394199,10.0 M,4,0.6,1.3,0.0,GAME ADVENTURE,259228,58165,28583,14117,34104,False
43,Survivors: The Quest,376854,1.0 M,4,1.2,2.5,0.0,GAME ADVENTURE,210364,86173,53464,12423,14428,False
44,Manor Matters,373672,10.0 M,4,14.4,22.8,0.0,GAME ADVENTURE,266506,60287,23503,7143,16231,False
45,Hard Time (Prison Sim),347489,10.0 M,3,0.6,1.4,0.0,GAME ADVENTURE,213419,36163,25947,15482,56474,False
46,Draw a Stickman: EPIC 2,342940,10.0 M,3,0.7,1.7,0.0,GAME ADVENTURE,210677,36908,25365,16060,53928,False
47,Westland Survival - Be a survivor in the Wild West,340647,10.0 M,4,2.0,4.9,0.0,GAME ADVENTURE,240206,48397,20907,8870,22265,False
48,Transformers: RobotsInDisguise,326203,10.0 M,4,2283.0,0.4,0.0,GAME ADVENTURE,238366,24575,15568,9217,38476,False
49,Crafting and Building,326177,10.0 M,4,11.7,27.8,0.0,GAME ADVENTURE,248268,27790,11796,6681,31639,False
50,Ghost Town Adventures: Mystery Riddles Game,321154,10.0 M,4,0.1,0.2,0.0,GAME ADVENTURE,205269,43812,25070,13274,33726,False
51,Hello Neighbor,320317,10.0 M,4,1027.4,17.4,0.0,GAME ADVENTURE,208001,29851,19215,12693,50554,False
52,Piggy Boom-Be the island king,317393,10.0 M,4,0.1,0.2,0.0,GAME ADVENTURE,254347,21977,13156,5943,21967,False
53,KENDALL & KYLIE,316902,5.0 M,4,0.0,0.1,0.0,GAME ADVENTURE,237051,31312,17425,8567,22544,False
54,Shipwrecked:Castaway Island,316484,10.0 M,4,0.0,0.0,0.0,GAME ADVENTURE,261012,25341,11826,4778,13525,False
55,Harry Potter: Wizards Unite,315349,10.0 M,3,0.2,0.5,0.0,GAME ADVENTURE,147620,48065,29967,21162,68532,False
56,Masha and the Bear Child Games,310393,50.0 M,4,0.3,0.7,0.0,GAME ADVENTURE,216151,24597,17098,10149,42396,False
57,Mirrors of Albion,302458,10.0 M,4,0.0,0.0,0.0,GAME ADVENTURE,209809,34317,20129,11172,27028,False
58,Ninja warrior: legend of adventure games,299697,10.0 M,4,5.0,10.2,0.0,GAME ADVENTURE,223886,21973,14655,8777,30403,False
59,Diamond Quest: Don't Rush!,276333,10.0 M,4,0.5,1.2,0.0,GAME ADVENTURE,202494,37063,16735,6257,13781,False
60,Westbound:Perils Ranch,269887,10.0 M,4,0.0,60.6,0.0,GAME ADVENTURE,215891,22409,13503,5547,12534,False
61,Clumsy Ninja,267176,10.0 M,4,0.1,0.1,0.0,GAME ADVENTURE,203138,20459,11244,6006,26326,False
62,LEGO® Star Wars™: TFA,248376,10.0 M,3,0.8,1.7,0.0,GAME ADVENTURE,156766,21189,14838,10225,45355,False
63,Tinker Island - Survival Story Adventure,245912,5.0 M,4,0.5,1.1,0.0,GAME ADVENTURE,157308,34746,19289,10917,23650,False
64,FPS Commando Secret Mission - Free Shooting Games,244108,100.0 M,4,7.0,17.0,0.0,GAME ADVENTURE,162830,18935,13921,9969,38451,False
65,﻿Dragon Land,241766,10.0 M,4,0.4,0.9,0.0,GAME ADVENTURE,174210,25753,14123,7011,20666,False
66,The Island Castaway: Lost World®,237178,1.0 M,4,0.3,0.6,0.0,GAME ADVENTURE,140986,51097,29799,6942,8351,False
67,Criminal Case: Pacific Bay,236968,10.0 M,4,0.3,0.5,0.0,GAME ADVENTURE,178035,28566,13369,5155,11840,False
68,The Wolf Among Us,236324,5.0 M,4,0.2,0.4,0.0,GAME ADVENTURE,179887,22918,10579,5559,17378,False
69,Dead Ninja Mortal Shadow,235190,5.0 M,4,0.0,0.1,0.0,GAME ADVENTURE,180024,25247,13218,3889,12808,False
70,BlockStarPlanet,232238,10.0 M,3,0.6,1.3,0.0,GAME ADVENTURE,139009,29963,15906,9032,38326,False
71,Street Chaser,228860,50.0 M,4,5156.3,6.8,0.0,GAME ADVENTURE,155724,17892,13469,9404,32368,False
72,Draw a Stickman: EPIC Free,228093,10.0 M,3,0.1,0.2,0.0,GAME ADVENTURE,137922,23910,18607,10966,36685,False
73,"Hotel Transylvania Adventures - Run, Jump, Build!",220878,10.0 M,4,1.1,2.4,0.0,GAME ADVENTURE,162516,19437,10535,6342,22045,False
74,Benji Bananas Adventures,220154,10.0 M,4,0.0,0.1,0.0,GAME ADVENTURE,157452,29143,14521,4294,14741,False
75,Seven - Deadly Revelation - Horror Chat Adventure,214038,1.0 M,4,0.8,1.9,0.0,GAME ADVENTURE,148804,36783,15996,4554,7899,False
76,Survival Island: EVO 2,212099,10.0 M,3,0.1,0.2,0.0,GAME ADVENTURE,119575,23404,18969,9375,40773,False
77,Zoo 2: Animal Park,209326,10.0 M,4,1.7,5.1,0.0,GAME ADVENTURE,135267,34179,15209,7029,17639,False
78,Spider Rope Hero - Gangster New York City,205339,10.0 M,4,5.0,11.4,0.0,GAME ADVENTURE,157834,9984,7605,5007,24906,False
79,Hidden City: Hidden Object Adventure,202932,10.0 M,4,0.1,0.1,0.0,GAME ADVENTURE,120363,50493,20584,4941,6548,False
80,CASE: Animatronics - Horror game,198913,5.0 M,4,1.2,2.4,0.0,GAME ADVENTURE,154771,19840,8313,3912,12075,False
81,Super City (Superhero Sim),196731,10.0 M,4,2.0,5.0,0.0,GAME ADVENTURE,140066,18997,10561,6110,20994,False
82,3D Maze / Labyrinth,195798,10.0 M,3,0.1,0.3,0.0,GAME ADVENTURE,98812,18705,18566,10027,49686,False
83,MultiCraft ― Build and Mine! 👍,192892,10.0 M,4,7.4,19.4,0.0,GAME ADVENTURE,129555,15897,9752,6792,30894,False
84,Friendzoned,187523,1.0 M,4,1.1,3.0,0.0,GAME ADVENTURE,153686,22367,6679,1949,2839,False
85,Nobodies: Murder Cleaner,184387,5.0 M,4,1.1,2.2,0.0,GAME ADVENTURE,137725,24816,9649,4022,8173,False
86,Adventure Time: Heroes of Ooo,184296,10.0 M,4,0.1,0.3,0.0,GAME ADVENTURE,127282,17122,11488,6373,22028,False
87,Homicide Squad: New York Cases,181431,1.0 M,4,1.7,3.9,0.0,GAME ADVENTURE,118453,37881,17008,3258,4828,False
88,Critical Action :Gun Strike Ops - Shooting Game,176486,50.0 M,4,1.8,3.9,0.0,GAME ADVENTURE,115933,13880,9575,6955,30141,False
89,Futurama: Worlds of Tomorrow,174281,5.0 M,4,0.2,0.4,0.0,GAME ADVENTURE,102685,29511,14650,7075,20357,False
90,Jurassic Survival Island: Dinosaurs & Craft,173009,10.0 M,4,0.7,1.4,0.0,GAME ADVENTURE,112463,17402,9523,6694,26925,False
91,Jungle Adventures,167371,10.0 M,4,0.9,1.9,0.0,GAME ADVENTURE,119216,14108,9116,6127,18801,False
92,Soda Dungeon,166142,1.0 M,4,0.1,0.3,0.0,GAME ADVENTURE,130867,22259,6726,1980,4308,False
93,Draw Your Game,165363,10.0 M,3,0.3,0.7,0.0,GAME ADVENTURE,82072,18237,15811,10471,38770,False
94,Epic Heroes - Dragon fight legends,164143,1.0 M,4,1446.6,1.0,0.0,GAME ADVENTURE,126888,15295,8052,3446,10459,False
95,Castle Cats - Idle Hero RPG,164000,5.0 M,4,0.8,1.6,0.0,GAME ADVENTURE,138571,12269,4782,2475,5900,False
96,Treasure Diving,162534,1.0 M,4,0.0,264.0,0.0,GAME ADVENTURE,139554,12547,5061,1647,3723,False
97,PlanetCraft: Block Craft Games,159801,10.0 M,3,1.2,2.6,0.0,GAME ADVENTURE,97662,15566,9679,6406,30485,False
98,Bunny Skater,155657,10.0 M,4,0.2,0.4,0.0,GAME ADVENTURE,112657,13089,9609,4869,15429,False
99,Dinos Online,155193,5.0 M,4,0.6,1.4,0.0,GAME ADVENTURE,102527,16613,9828,5977,20246,False
100,Prison Escape Puzzle: Adventure,154835,10.0 M,4,0.3,0.7,0.0,GAME ADVENTURE,99726,22100,12197,5612,15197,False
1,Subway Surfers,35665901,1000.0 M,4,0.5,1.0,0.0,GAME ARCADE,27138572,3366600,1622695,814890,2723142,False
2,Hungry Shark Evolution - Offline survival game,7202013,100.0 M,4,0.4,0.8,0.0,GAME ARCADE,5220860,792543,404086,191098,593424,False
3,Geometry Dash Lite,6960814,100.0 M,4,421.7,0.9,0.0,GAME ARCADE,4787054,831967,432708,188672,720411,False
4,Zombie Tsunami,5903477,100.0 M,4,0.4,0.8,0.0,GAME ARCADE,4295577,615956,339838,159034,493070,False
5,Sonic Dash - Endless Running & Racing Game,5402149,100.0 M,4,0.7,1.5,0.0,GAME ARCADE,4290826,539449,214946,88100,268825,False
6,Fruit Ninja®,5367599,100.0 M,4,0.2,0.4,0.0,GAME ARCADE,3745457,583916,354239,150993,532992,False
7,Jetpack Joyride,4919742,100.0 M,4,0.1,0.2,0.0,GAME ARCADE,3676322,567777,271954,94004,309682,False
8,Temple Run,4816448,500.0 M,4,0.7,1.5,0.0,GAME ARCADE,3184391,438320,318164,204384,671187,False
9,Cooking Fever – Restaurant Game,4565220,100.0 M,4,0.6,1.2,0.0,GAME ARCADE,3220230,532157,287592,139793,385446,False
